"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2020","4.0618","4.0565","4.0743","4.0458","31.86K","-0.13%"
"01/03/2020","4.0672","4.0253","4.0718","4.0253","43.89K","1.02%"
"01/02/2020","4.0263","4.0198","4.0412","4.0032","31.67K","0.17%"
"01/01/2020","4.0195","4.0195","4.0195","4.0195","","0.00%"
"12/31/2019","4.0195","4.0201","4.0201","4.0195","0.00K","0.00%"
"12/30/2019","4.0195","4.0484","4.0484","4.0084","23.18K","-0.65%"
"12/27/2019","4.0459","4.0567","4.0614","4.0339","26.83K","-0.25%"
"12/26/2019","4.0560","4.0827","4.0827","4.0453","23.72K","-0.68%"
"12/25/2019","4.0838","4.0838","4.0838","4.0838","","0.00%"
"12/24/2019","4.0838","4.0838","4.0838","4.0838","","0.00%"
"12/23/2019","4.0836","4.1015","4.1015","4.0571","28.35K","-0.46%"
"12/20/2019","4.1025","4.0706","4.1025","4.0576","38.26K","0.81%"
"12/19/2019","4.0697","4.0633","4.0703","4.0503","32.92K","0.16%"
"12/18/2019","4.0634","4.0687","4.0764","4.0463","35.09K","-0.21%"
"12/17/2019","4.0718","4.0631","4.0779","4.0503","30.89K","0.21%"
"12/16/2019","4.0632","4.1096","4.1096","4.0544","32.11K","-1.10%"
"12/13/2019","4.1082","4.0913","4.1178","4.0751","54.45K","0.43%"
"12/12/2019","4.0908","4.1241","4.1311","4.0813","55.40K","-0.81%"
"12/11/2019","4.1242","4.1466","4.1470","4.1067","42.58K","-0.55%"
"12/10/2019","4.1470","4.1429","4.1513","4.1323","40.12K","0.11%"
"12/09/2019","4.1425","4.1417","4.1608","4.1229","32.29K","0.03%"
"12/06/2019","4.1414","4.1859","4.1947","4.1330","43.08K","-1.07%"
